col,media
sintomas,0.6394557823129252
trombose_veia_porta,0.2222222222222222
metastases_hepatica,0.2236024844720497
idade_diagnostico,64.87878787878788
INR,1.3763229813664597
AFP,394.07025477707003
Hemoglobina,12.889274691358025
plaquetas,112988.74358024693
gama_glutamil_transferase,250.69783950617287
biliburrina_total,2.1216875
albumina,3.445534591194968
fosfatase_alcalina,198.29262345679012
maior_diametro_nodulo,6.757379310344827
biliburrina_direta,1.0715702479338842
ferro,85.59883720930233
ferritina,425.8564705882353
grau_ascite_1.0,0.6606060606060606
grau_ascite_2.0,0.21818181818181817
grau_ascite_3.0,0.10909090909090909
